bucket,url,final_url,status,redirect_chain,title,canonical,canonical_self,robots_meta,is_noindex,og_url,og_url_matches_canonical,jsonld_blocks,has_product,has_breadcrumb,has_organization,has_itemlist,word_count,issues
sitemap,https://pzm.ae/product/prod-mo4qu6mp-ambodb/,https://pzm.ae/product/prod-mo4qu6mp-ambodb/,200,https://pzm.ae/product/prod-mo4qu6mp-ambodb/ [200],Samsung Galaxy A06 4G 64GB / 4GB RAM Black | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu6mp-ambodb/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu6mp-ambodb/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mo4qu53t-7ls8gf/,https://pzm.ae/product/prod-mo4qu53t-7ls8gf/,200,https://pzm.ae/product/prod-mo4qu53t-7ls8gf/ [200],Samsung Galaxy A07 4G 64GB / 4GB RAM Black | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu53t-7ls8gf/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu53t-7ls8gf/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mo4qvexx-uee7df/,https://pzm.ae/product/prod-mo4qvexx-uee7df/,200,https://pzm.ae/product/prod-mo4qvexx-uee7df/ [200],Dell Inspiron 3558 i5 5th / 8GB / 512GB Black | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qvexx-uee7df/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qvexx-uee7df/,True,2,True,True,False,False,171,
sitemap,https://pzm.ae/product/prod-mnnylfgi-563z4b/,https://pzm.ae/product/prod-mnnylfgi-563z4b/,200,https://pzm.ae/product/prod-mnnylfgi-563z4b/ [200],PS4 with Controller | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mnnylfgi-563z4b/,True,"index, follow",False,https://pzm.ae/product/prod-mnnylfgi-563z4b/,True,2,True,True,False,False,192,
sitemap,https://pzm.ae/product/prod-mo4quzkt-96k1wf/,https://pzm.ae/product/prod-mo4quzkt-96k1wf/,200,https://pzm.ae/product/prod-mo4quzkt-96k1wf/ [200],Apple Watch SE 40mm GPS Starlight | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4quzkt-96k1wf/,True,"index, follow",False,https://pzm.ae/product/prod-mo4quzkt-96k1wf/,True,2,True,True,False,False,140,
sitemap,https://pzm.ae/product/prod-mnnz7krp-31gl1c/,https://pzm.ae/product/prod-mnnz7krp-31gl1c/,200,https://pzm.ae/product/prod-mnnz7krp-31gl1c/ [200],Huawei MatePad 128GB Good Condition | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mnnz7krp-31gl1c/,True,"index, follow",False,https://pzm.ae/product/prod-mnnz7krp-31gl1c/,True,2,True,True,False,False,174,
sitemap,https://pzm.ae/product/prod-mo4qu4nf-utjgdl/,https://pzm.ae/product/prod-mo4qu4nf-utjgdl/,200,https://pzm.ae/product/prod-mo4qu4nf-utjgdl/ [200],Samsung Galaxy A17 4G 128GB / 4GB RAM White | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu4nf-utjgdl/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu4nf-utjgdl/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mnnylg1u-8oymq7/,https://pzm.ae/product/prod-mnnylg1u-8oymq7/,200,https://pzm.ae/product/prod-mnnylg1u-8oymq7/ [200],Xbox One | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mnnylg1u-8oymq7/,True,"index, follow",False,https://pzm.ae/product/prod-mnnylg1u-8oymq7/,True,2,True,True,False,False,143,
sitemap,https://pzm.ae/product/prod-mo4qu42b-2giizc/,https://pzm.ae/product/prod-mo4qu42b-2giizc/,200,https://pzm.ae/product/prod-mo4qu42b-2giizc/ [200],Samsung Galaxy A17 4G 128GB / 4GB RAM Blue | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu42b-2giizc/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu42b-2giizc/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mnnz7kbm-9xdr7p/,https://pzm.ae/product/prod-mnnz7kbm-9xdr7p/,200,https://pzm.ae/product/prod-mnnz7kbm-9xdr7p/ [200],iPad 8th Gen 32GB Rose Gold | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mnnz7kbm-9xdr7p/,True,"index, follow",False,https://pzm.ae/product/prod-mnnz7kbm-9xdr7p/,True,2,True,True,False,False,182,
